page,rows,elapsed_ms
1270,1000,3.372
1271,1000,2.278
1272,1000,3.688
1273,1000,2.284
1274,1000,2.433
1275,1000,2.371
1276,1000,2.519
1277,1000,2.385
1278,1000,2.612
1279,1000,2.583
1280,1000,2.449
1281,1000,2.443
1282,1000,2.557
1283,1000,2.553
1284,1000,2.629
1285,1000,2.539
1286,1000,2.484
1287,1000,2.490
1288,1000,2.647
1289,1000,2.433
1290,1000,2.652
1291,1000,2.413
1292,1000,2.392
1293,1000,2.357
1294,1000,3.813
1295,1000,2.410
1296,1000,2.269
1297,1000,2.419
1298,1000,3.584
1299,1000,2.216
1300,1000,3.244
1301,1000,3.675
1302,1000,2.367
1303,1000,2.655
1304,1000,2.877
1305,1000,2.604
1306,1000,2.810
1307,1000,3.712
1308,1000,2.294
1309,1000,2.335
1310,1000,3.803
1311,1000,3.706
1312,1000,3.057
1313,1000,3.725
1314,1000,3.217
1315,1000,2.819
1316,1000,2.838
1317,1000,2.977
1318,1000,2.299
1319,1000,2.524
1320,1000,2.406
1321,1000,2.342
1322,1000,2.340
1323,1000,2.205
1324,1000,2.325
1325,1000,3.143
1326,1000,2.449
1327,1000,3.001
1328,1000,3.094
1329,1000,2.262
1330,1000,3.961
1331,1000,2.262
1332,1000,2.435
1333,1000,2.231
1334,1000,2.408
1335,1000,3.048
1336,1000,3.730
1337,1000,2.366
1338,1000,2.619
1339,1000,2.484
1340,1000,2.574
1341,1000,2.378
1342,1000,2.480
1343,1000,2.491
1344,1000,3.653
1345,1000,3.072
1346,1000,3.255
1347,1000,3.273
1348,1000,2.438
1349,1000,3.398
1350,1000,3.009
1351,1000,3.807
1352,1000,3.853
1353,1000,3.633
1354,1000,3.125
1355,1000,3.887
1356,1000,3.344
1357,1000,3.781
1358,1000,2.907
1359,1000,2.404
1360,1000,3.423
1361,1000,2.428
1362,1000,3.845
1363,1000,3.679
1364,1000,2.482
1365,1000,2.499
1366,1000,2.507
1367,1000,2.478
1368,1000,3.275
1369,1000,2.491
1370,1000,2.901
1371,1000,2.296
1372,1000,2.235
1373,1000,2.253
1374,1000,2.257
1375,1000,2.789
1376,1000,3.171
1377,1000,2.866
1378,1000,2.872
1379,1000,3.493
